    bir, sıfat
    an, isim
    sormak, fiil
    bunun, zamir
    öyle, zarf
    yine, zarf
    sağlamak, fiil
    sonuç, isim
    kullanılmak, fiil
    dış, isim
    ad, isim
    yani, bağlaç
    süre, isim
    dönmek, fiil
    açmak, fiil
    oturmak, fiil
    anlatmak, fiil
    bırakmak, fiil
    hemen, zarf
    saat, isim
    yaş, isim
    sorun, isim
    devlet, isim
    sahip, isim
    sıra, isim
    yazmak, fiil
    yüzde, isim
    ay, isim
    atmak, fiil
    tutmak, fiil
    bunu, zamir
    olay, isim
    düşmek, fiil
    duymak, fiil
    söz, isim
    güzel, sıfat
    sevmek, fiil
    biraz, sıfat
    zor, zarf
    çıkarmak, fiil
    şu, zamir
    koymak, fiil
    tek, sıfat
    sistem, isim
    birlikte, sıfat
    verilmek, fiil
    kim, zarf
    alınmak, fiil
    genç, sıfat
    kapı, isim
    kitap, isim
    üzerine, zarf
    burada, zarf
    gece, isim
    alan, isim
    birbiri, zamir
    işte, edat
    beklemek, fiil
    uzun, sıfat
    hiçbir, sıfat
    bugün, isim
    dönem, isim
    arkadaş, isim
    ürün, isim
    aile, isim
    üç, sıfat
    okumak, fiil
    erkek, isim
    herkes, zamir
    güç, isim
    belki, zarf
    gerçek, isim
    tam, sıfat
    ilgili, sıfat
    ilişki, isim
    çevre, isim
    eski, sıfat
    aramak, fiil
    yaşam, isim
    halk, isim
    yakın, sıfat
    sokak, isim
    bey, isim
    tarih, isim
    özellik, isim
    bölüm, isim
    özel, sıfat
    akıl, isim
    kimse, zamir
    pek, sıfat
    eğer, bağlaç
    gerek, sıfat
    özellikle, zarf
    anlam, isim
    yüksek, sıfat
    banka, isim
    kez, zarf
    ayak, isim
    taşımak, fiil
    geri, sıfat
    toplum, isim
    araç, isim
    madde, isim
    tür, isim
    karar, isim
    görülmek, fiil
    hava, isim
    sayı, isim
    farklı, sıfat
    grup, isim
    oda, isim
    biçim, isim
    oluşmak, fiil
    haber, isim
    Allah, isim
    ayrıca, zarf
    gelen, sıfat
    birkaç, sıfat
    soru, isim
    arka, isim
    kazanmak, fiil
    yazı, isim
    okul, isim
    açık, sıfat
    öğrenmek, fiil
    sürmek, fiil
    dil, isim
    şirket, isim
    kaynak, isim
    bitmek, fiil
    program, isim
    devam etmek, fiil
    hareket, isim
    renk, isim
    açılmak, fiil
    hak, isim
    inanmak, fiil
    çalışma, isim
    açı, isim
    parça, isim
    gazete, isim
    oluşturmak, fiil
    tabi, sıfat
    değer, isim
    tanımak, fiil
    yapı, isim
    doktor, isim
    gelir, isim
    görev, isim
    amaç, isim
    bölge, isim
    film, isim
    üzere, zarf
    müşteri, isim
    zaten, zarf
    telefon, isim
    eğitim, isim
    deniz, isim
    ikinci, sıfat
    kalkmak, fiil
    hatta, zarf
    etki, isim
    gelişmek, fiil
    geçen, sıfat
    vücut, isim
    düşünce, isim
    milyon, isim
    oynamak, fiil
    değişmek, fiil
    temel, isim
    yaratmak, fiil
    ulaşmak, fiil
    sanmak, fiil
    geçirmek, fiil
    kültür, isim
    kurmak, fiil
    fakat, bağlaç
    buna, zamir
    resim, isim
    ışık, isim
    içmek, fiil
    hanım, isim
    hizmet, isim
    ihtiyaç, isim
    nokta, isim
    yön, isim
    evet, zarf
    oyun, isim
    artmak, fiil
    yeniden, zarf
    işlem, isim
    kısa, sıfat
    kolay, sıfat
    hangi, zarf
    oran, isim
    aslında, zarf
    kabul etmek, fiil
    orada, isim
    dikkat, isim
    uzak, sıfat
    bilgisayar, isim
    gelecek, isim
    görünmek, fiil
    örneğin, edat
    oğul, isim
    dinlemek, fiil
    uygun, sıfat
    lira, isim
    üretim, isim
    dakika, isim
    unutmak, fiil
    yürümek, fiil
    böylece, zarf
    kötü, sıfat
    araba, isim
    ağız, isim
    duygu, isim
    uygulamak, fiil
    hâlâ, zarf
    örnek, isim
    birçok, zamir
    izlemek, fiil
    derece, isim
    mümkün, sıfat
    şöyle, zarf
    duvar, isim
    on, sıfat
    sanat, isim
    ana, isim
    hastalık, isim
    öğrenci, isim
    televizyon, isim
    yöntem, isim
    masa, isim
    ölmek, fiil
    takım, isim
    üst, sıfat
    kafa, isim
    müzik, isim
    ayrılmak, fiil
    enerji, isim
    üniversite, isim
    spor, isim
    türlü, isim
    can, isim
    rağmen, zarf
    kısım, isim
    ölüm, isim
    sürekli, sıfat
    sağlık, isim
    çeşitli, sıfat
    bundan, zarf
    hissetmek, fiil
    oysa, zarf
    sabah, isim
    internet, isim
    teknik, isim
    dışarı, isim
    merkez, isim
    ortam, isim
    yerine, zarf
    düzey, isim
    köy, isim
    yönetim, isim
    aşağı, isim
    cevap, isim
    yatmak, fiil
    toprak, isim
    isim, isim
    akşam, isim
    araştırma, isim
    götürmek, fiil
    katılmak, fiil
    yoksa, zarf
    kurulmak, fiil
    ödemek, fiil
    sanki, zarf
    kan, isim
    hasta, isim
    şehir, isim
    inmek, fiil
    sunmak, fiil
    bilinmek, fiil
    hafta, isim
    trafik, isim
    hesap, isim
    otomobil, isim
    yabancı, isim
    davranış, isim
    mutfak, isim
    kent, isim
    bazen, zarf
    belli, sıfat
    ayrı, sıfat
    fiyat, isim
    hakkında, zarf
    kaldırmak, fiil
    kol, isim
    yalnız, sıfat
    hazırlamak, fiil
    cam, isim
    sonunda, zarf
    yavaş, sıfat
    gerekli, sıfat
    önem, isim
    koca, isim
    yanlış, sıfat
    varlık, isim
    art, sıfat
    ilgi, isim
    sana, zamir
    satış, isim
    içeri, isim
    doğal, sıfat
    sahip olmak, fiil
    ekonomik, sıfat
    acı, isim
    hayır, edat
    korumak, fiil
    kat, isim
    ekonomi, isim
    genel, sıfat
    belirtmek, fiil
    fotoğraf, isim
    hayvan, isim
    savaş, isim
    mal, isim
    saç, isim
    kaybetmek, fiil
    kalan, isim
    değiştirmek, fiil
    dört, sıfat
    gerçekten, zarf
    sayfa, isim
    teknoloji, isim
    kurum, isim
    beş, sıfat
    sektör, isim
    geniş, sıfat
    kağıt, isim
    koku, isim
    sağ, sıfat
    sıcak, sıfat
    yüzyıl, isim
    cadde, isim
    pazar, isim
    sürdürmek, fiil
    kullanım, isim
    sınıf, isim
    aşk, isim
    doğmak, fiil
    ağır, sıfat
    tekrar, zarf
    güneş, isim
    sigara, isim
    ağaç, isim
    kelime, isim
    bina, isim
    eş, sıfat
    kaçmak, fiil
    parti, isim
    yatak, isim
    yazar, isim
    kulak, isim
    öğretmen, isim
    sebep, isim
    sol, sıfat
    peki, edat
    yağ, isim
    yüzden, zarf
    anlaşılmak, fiil
    varmak, fiil
    gülmek, fiil
    kural, isim
    satmak, fiil
    şiir, isim
    göndermek, fiil
    başarı, isim
    firma, isim
    hükümet, isim
    kalp, isim
    kesmek, fiil
    proje, isim
    şart, isim
    hız, isim
    köşe, isim
    vurmak, fiil
    model, isim
    balık, isim
    piyasa, isim
    görüş, isim
    bura, isim
    hazırlanmak, fiil
    miktar, isim
    birinci, sıfat
    meydan, isim
    ölçü, isim
    seçmek, fiil
    uygulanmak, fiil
    bahçe, isim
    sevgi, isim
    ekmek, isim
    boyunca, zarf
    koşmak, fiil
    dolu, isim
    kuruluş, isim
    saye, isim
    korkmak, fiil
    yardım, isim
    karşılaşmak, fiil
    malzeme, isim
    hoş, sıfat
    köpek, isim
    ünlü, sıfat
    büyümek, fiil
    dolaşmak, fiil
    oldukça, zarf
    üstelik, zarf
    yaşanmak, fiil
    beyaz, sıfat
    istek, isim
    öte, sıfat
    denmek, fiil
    kardeş, isim
    çekilmek, fiil
    nerede, zarf
    çalmak, fiil
    izin, isim
    korku, isim
    meslek, isim
    polis, isim
    yalnızca, zarf
    açıklamak, fiil
    fikir, isim
    hızlı, sıfat
    pencere, isim
    uğraşmak, fiil
    taş, isim
    ateş, isim
    fark, isim
    yetmek, fiil
    çoğu, sıfat
    kimi, sıfat
    koşul, isim
    mahalle, isim
    mutlaka, zarf
    tane, isim
    üretmek, fiil
    üstüne, zarf
    dayanmak, fiil
    ince, sıfat
    kaç, sıfat
    ortak, isim
    tip, isim
    görüntü, isim
    beri, edat
    ders, isim
    başkan, isim
    karşılık, isim
    kurtulmak, fiil
    numara, isim
    defa, isim
    edilmek, fiil
    batı, isim
    fark etmek, fiil
    herhangi bir, sıfat
    sinema, isim
    değişik, sıfat
    hedef, isim
    uyumak, fiil
    dost, isim
    yanmak, fiil
    anlayış, isim
    asıl, sıfat
    basmak, fiil
    kenar, isim
    kontrol, isim
    çevirmek, fiil
    din, isim
    güçlü, sıfat
    henüz, zarf
    plan, isim
    beyin, isim
    elektrik, isim
    karı, isim
    üstünde, isim
    et, isim
    sağlanmak, fiil
    söylenmek, fiil
    çizgi, isim
    uç, sıfat
    üye, isim
    cilt, isim
    ruh, isim
    sevgili, sıfat
    yaklaşmak, fiil
    süreç, isim
    bakış, isim
    bilim, isim
    ileri, zarf
    ifade, isim
    beden, isim
    hatırlamak, fiil
    kaza, isim
    iyice, zarf
    dağ, isim
    kapatmak, fiil
    adım, isim
    ciddi, sıfat
    çözüm, isim
    etkilemek, fiil
    belediye, isim
    gelişme, isim
    seçim, isim
    ağlamak, fiil
    bağlı, zarf
    kavram, isim
    artırmak, fiil
    faaliyet, isim
    zarar, isim
    derin, sıfat
    salon, isim
    çeşit, isim
    kesilmek, fiil
    seyretmek, fiil
    birden, zarf
    içermek, fiil
    sayılmak, fiil
    toplamak, fiil
    aşmak, fiil
    bağırmak, fiil
    sorumluluk, isim
    davranmak, fiil
    mektup, isim
    soğuk, sıfat
    canlı, sıfat
    idi, ek eylem
    makine, isim
    yararlanmak, fiil
    yaşlı, sıfat
    boş, sıfat
    acaba, zarf
    maç, isim
    yönetici, isim
    getirilmek, fiil
    metre, isim
    tutulmak, fiil
    kalite, isim
    bitki, isim
    değişiklik, isim
    ilaç, isim
    kredi, isim
    yasa, isim
    başarılı, sıfat
    birer, sıfat
    imkan, isim
    ceza, isim
    her şey, sıfat
    incelemek, fiil
    top, isim
    uzman, isim
    doldurmak, fiil
    kanal, isim
    mekân, isim
    uymak, fiil
    yıllık, zarf
    dolayısıyla, zarf
    yazılmak, fiil
    ait, sıfat
    parmak, isim
    saymak, fiil
    atılmak, fiil
    belirlemek, fiil
    normal, sıfat
    hele, bağlaç
    ilke, isim
    kırmızı, sıfat
    rol, isim
    şarkı, isim
    eleman, isim
    hazır, sıfat
    benzemek, fiil
    bir şey, zamir
    hoca, isim
    boy, isim
    günlük, isim
    politika, isim
    suç, isim
    niye, zarf
    sahne, isim
    sokmak, fiil
    adet, isim
    koltuk, isim
    kurtarmak, fiil
    sanatçı, isim
    tercih etmek, fiil
    uzanmak, fiil
    aşama, isim
    eklemek, fiil
    orman, isim
    ayırmak, fiil
    düzen, isim
    faiz, isim
    genellikle, zarf
    her zaman, zarf
    hikaye, isim
    hücre, isim
    ora, isim
    roman, isim
    vergi, isim
    yakmak, fiil
    ağabey, isim
    basın, isim
    destek, isim
    giymek, fiil
    hata, isim
    sınır, isim
    birlik, isim
    eser, isim
    karşılamak, fiil
    yarı, sıfat
    yeterli, sıfat
    birey, isim
    karanlık, sıfat
    otobüs, isim
    sanayi, isim
    bebek, isim
    vatandaş, isim
    bakan, isim
    kere, isim
    millet, isim
    reklam, isim
    yükselmek, fiil
    boyut, isim
    dergi, isim
    enflasyon, isim
    sosyal, sıfat
    birisi, zamir
    geçmiş, isim
    hastahane, isim
    olma, isim
    toplantı, isim
    gazeteci, isim
    içerisi, isim
    inanç, isim
    nitelik, isim
    üzeri, isim
    bitirmek, fiil
    gerçekleşmek, fiil
    giriş, isim
    rahat, sıfat
    toplam, isim
    beraber, zarf
    dükkan, isim
    gizli, sıfat
    benzer, sıfat
    deri, isim
    dönüşmek, fiil
    mücadele, isim
    problem, isim
    servis, isim
    tedavi, isim
    yeşil, sıfat
    bakanlık, isim
    baskı, isim
    tepki, isim
    cümle, isim
    dilemek, fiil
    özgürlük, isim
    gene, zarf
    kimlik, isim
    mesele, isim
    üçüncü, sıfat
    belirlenmek, fiil
    değerlendirmek, fiil
    ilginç, sıfat
    sürücü, isim
    süt, isim
    yakalamak, fiil
    eşya, isim
    uluslararası, sıfat
    aday, isim
    ağırlık, isim
    milyar, isim
    sağlıklı, sıfat
    sıkıntı, isim
    Tanrı, isim
    tavır, isim
    toplumsal, sıfat
    yayın, isim
    dikkat etmek, fiil
    son derece, sıfat
    toplanmak, fiil
    yatırım, isim
    hafif, sıfat
    karışmak, fiil
    tehlike, isim
    vakit, isim
    daire, isim
    fırsat, isim
    işlemek, fiil
    karıştırmak, fiil
    katkı, isim
    öykü, isim
    tamamen, zarf
    uçak, isim
    yanıt, isim
    doğa, isim
    evlenmek, fiil
    burun, isim
    çıkar, isim
    elbette, zarf
    işçi, isim
    işletme, isim
    kısaca, zarf
    mağaza, isim
    medya, isim
    yüzünden, zarf
    artış, isim
    çıkarılmak, fiil
    kamu, isim
    sigorta, isim
    yaz, isim
    yürek, isim
    belge, isim
    çaba, isim
    her gün, zarf
    ifade etmek, fiil
    risk, isim
    söz etmek, fiil
    sözcük, isim
    demokrasi, isim
    tuz, isim
    cami, isim
    çağ, isim
    düşük, sıfat
    etraf, isim
    hızla, zarf
    olanak, isim
    organ, isim
    öldürmek, fiil
    öteki, sıfat
    sene, isim
    bozulmak, fiil
    ilgilenmek, fiil
    meyve, isim
    takılmak, fiil
    tatlı, sıfat
    bacak, isim
    değişim, isim
    kanun, isim
    rüzgar, isim
    cumhuriyet, isim
    geliştirmek, fiil
    tarz, isim
    yedi, sıfat
    azalmak, fiil
    bağlamak, fiil
    cep telefonu, isim
    iletişim, isim
    müdür, isim
    otel, isim
    yayımlanmak, fiil
    zevk, isim
    binmek, fiil
    güvenlik, isim
    hukuk, isim
    kılmak, fiil
    modern, sıfat
    okur, isim
    silah, isim
    talep, isim
    yıldız, isim
    yoğun, sıfat
    asker, isim
    basit, sıfat
    denilmek, fiil
    gaz, isim
    uygulama, isim
    üretilmek, fiil
    beyan, isim
    besin, isim
    dün, zarf
    görüşmek, fiil
    yaklaşık, sıfat
    alışveriş, isim
    bilinç, isim
    çerçeve, isim
    lazım, sıfat
    mevcut, isim
    tüketici, isim
    uzatmak, fiil
    yönelik, sıfat
    at, isim
    bağlanmak, fiil
    mesela, edat
    neredeyse, zarf
    site, isim
    yardımcı olmak, fiil
    abla, isim
    çiçek, isim
    hepsi, zamir
    saygı, isim
    ücret, isim
    yetenek, isim
    kilo, isim
    paylaşmak, fiil
    sert, sıfat
    yanı sıra, zarf
    çay, isim
    gider, isim
    kesin, sıfat
    zengin, sıfat
    asla, zarf
    laf, isim
    örgüt, isim
    ticaret, isim
    yaptırmak, fiil
    boyun, isim
    cihaz, isim
    denge, isim
    giderek, zarf
    sırt, isim
    dolayı, zarf
    kahve, isim
    kas, isim
    meclis, isim
    öteki, isim
    uğraşmak, fiil
    adres, isim
    belirtilmek, fiil
    paşa, isim
    sıcaklık, isim
    tamam, sıfat
    güven, isim
    marka, isim
    yaprak, isim
    yarar, isim
    yayılmak, fiil
    akmak, fiil
    çizmek, fiil
    düşünülmek, fiil
    gönül, isim
    hayal, isim
    ilerlemek, fiil
    şarap, isim
    yukarıda, sıfat
    altın, isim
    düzenlemek, fiil
    satın almak, fiil
    sunulmak, fiil
    temiz, sıfat
    vitamin, isim
    ek, isim
    geç, sıfat
    hareket etmek, fiil
    yumurta, isim
    aşırı, sıfat
    eylem, isim
    istenmek, fiil
    kesim, isim
    kriz, isim
    birim, isim
    kapanmak, fiil 
